_asliu_,448,276,104,68,0.232,0.152,0.384
3cm_lin,55,38,15,2,0.273,0.036,0.309
420lolguy,673,376,192,105,0.285,0.156,0.441
a2jwlry,692,555,116,21,0.168,0.03,0.198
agralius,27,17,5,5,0.185,0.185,0.37
agucovschi,74,65,7,2,0.095,0.027,0.122
ahmetciv,131,107,21,3,0.16,0.023,0.183
ahmetdurust,302,169,74,59,0.245,0.195,0.44
akarcaye,175,76,53,46,0.303,0.263,0.566
alarabitlis,128,56,31,41,0.242,0.32,0.563
alarakoyuncuoglu,104,69,22,13,0.212,0.125,0.337
alev_karaca,441,228,77,136,0.175,0.308,0.483
alex_biedermann,380,243,76,61,0.2,0.161,0.361
alican_elkorek,305,230,49,26,0.161,0.085,0.246
alina.whisper,272,146,89,37,0.327,0.136,0.463
aliozanakin,202,148,35,19,0.173,0.094,0.267
alpcaglar,800,368,217,215,0.271,0.269,0.54
alper_iri,71,29,8,34,0.113,0.479,0.592
altezta,49,17,17,15,0.347,0.306,0.653
alyssasac,69,19,9,41,0.13,0.594,0.725
amelie_mercer,182,88,52,42,0.286,0.231,0.516
ammermanschlosberg,326,112,126,88,0.387,0.27,0.656
amoriumjewelry,1431,1048,273,110,0.191,0.077,0.268
analog_kultur,116,74,32,10,0.276,0.086,0.362
analoguehaven,155,115,32,8,0.206,0.052,0.258
andresdalton,292,144,65,83,0.223,0.284,0.507
angelconsti,56,31,10,15,0.179,0.268,0.446
anitaasensio,161,50,46,65,0.286,0.404,0.689
annejoyeuse,407,295,79,33,0.194,0.081,0.275
anthonybourdain,390,218,85,87,0.218,0.223,0.441
ardaaydogann,516,236,94,186,0.182,0.36,0.543
ardakara,31,13,5,13,0.161,0.419,0.581
ariarevyan,95,53,24,18,0.253,0.189,0.442
arsenicmagazine,95,62,28,5,0.295,0.053,0.347
art_psycho,253,180,59,14,0.233,0.055,0.289
asenaongan,856,314,252,290,0.294,0.339,0.633
asliakis,74,47,13,14,0.176,0.189,0.365
aslihatip,257,185,47,25,0.183,0.097,0.28
atestunca,33,11,7,15,0.212,0.455,0.667
atolyestone,426,342,67,17,0.157,0.04,0.197
ayfergaripoglu,34,10,8,16,0.235,0.471,0.706
aykutmaykut,186,110,65,11,0.349,0.059,0.409
ayseozker,139,72,27,40,0.194,0.288,0.482
badgyldini,1199,789,255,155,0.213,0.129,0.342
bahattin_ayan,135,85,34,16,0.252,0.119,0.37
balazsbercsenyi,509,308,139,62,0.273,0.122,0.395
banksyblog,769,505,183,81,0.238,0.105,0.343
banukirisci,92,56,22,14,0.239,0.152,0.391
basakulubilgen,55,23,19,13,0.345,0.236,0.582
baseck,67,42,16,9,0.239,0.134,0.373
batikang,181,116,37,28,0.204,0.155,0.359
batuerem,158,94,23,41,0.146,0.259,0.405
beckystarker,129,63,33,33,0.256,0.256,0.512
beffgourmet,175,131,36,8,0.206,0.046,0.251
begumcemiloglu,242,155,62,25,0.256,0.103,0.36
begumcolakoglu,447,301,81,65,0.181,0.145,0.327
begumokcu,167,109,29,29,0.174,0.174,0.347
begumtasezen,136,77,24,35,0.176,0.257,0.434
bercis_ustunberk,106,47,20,39,0.189,0.368,0.557
bernabenbasa,271,82,90,99,0.332,0.365,0.697
bernauzunyol,459,276,99,84,0.216,0.183,0.399
berrakkocaoglu,154,99,31,24,0.201,0.156,0.357
besstes,61,23,13,25,0.213,0.41,0.623
besteyucelerozden,315,135,60,120,0.19,0.381,0.571
betches,3439,2004,917,518,0.267,0.151,0.417
bhrinchev37,129,47,27,55,0.209,0.426,0.636
bicemsinik,215,149,51,15,0.237,0.07,0.307
bigsleek,643,371,174,98,0.271,0.152,0.423
bisradio,1022,434,324,264,0.317,0.258,0.575
bobbobchild,308,183,71,54,0.231,0.175,0.406
bobo_est.1989,39,30,6,3,0.154,0.077,0.231
booooooom,882,659,158,65,0.179,0.074,0.253
boywithnojob,1354,840,354,160,0.261,0.118,0.38
brosbeingbasic,406,159,132,115,0.325,0.283,0.608
bukeyurdadog,246,183,48,15,0.195,0.061,0.256
bulzeye,604,352,155,97,0.257,0.161,0.417
burakarikan,135,62,28,45,0.207,0.333,0.541
burakondr,187,90,54,43,0.289,0.23,0.519
busebb3,736,361,203,172,0.276,0.234,0.51
buseunlu,182,101,49,32,0.269,0.176,0.445
busra_erkara,1636,1145,324,167,0.198,0.102,0.3
busycircuits,44,33,6,5,0.136,0.114,0.25
caciazoo,485,302,135,48,0.278,0.099,0.377
cagrcelk,342,219,90,33,0.263,0.096,0.36
callmebabyzee,297,167,71,59,0.239,0.199,0.438
cameronmccool,111,42,50,19,0.45,0.171,0.622
canancikkk,154,64,22,68,0.143,0.442,0.584
candanozatav,62,30,14,18,0.226,0.29,0.516
canerkaraloglu,225,103,49,73,0.218,0.324,0.542
canzarb,33,26,4,3,0.121,0.091,0.212
carolinamstf,158,63,28,67,0.177,0.424,0.601
casesalamode,603,466,99,38,0.164,0.063,0.227
ccarmikli,57,23,10,24,0.175,0.421,0.596
ccavadas,50,22,9,19,0.18,0.38,0.56
cefibovete,27,9,2,16,0.074,0.593,0.667
cemredemirkaya,273,194,42,37,0.154,0.136,0.289
cemsak,55,33,12,10,0.218,0.182,0.4
cemuzan,437,220,144,73,0.33,0.167,0.497
cetinpancar,123,93,16,14,0.13,0.114,0.244
cgunduz08,1035,493,286,256,0.276,0.247,0.524
chandambao,199,135,39,25,0.196,0.126,0.322
chloessevigny,234,101,81,52,0.346,0.222,0.568
chrisschoen,221,163,30,28,0.136,0.127,0.262
cihannaofficial,2681,983,703,995,0.262,0.371,0.633
cihansaylam,250,54,25,171,0.1,0.684,0.784
claireemilyd,246,154,58,34,0.236,0.138,0.374
cmmnps,170,123,31,16,0.182,0.094,0.276
collegenationwide,1067,484,312,271,0.292,0.254,0.546
commentawards,868,577,217,74,0.25,0.085,0.335
commonwealthprojects,106,87,14,5,0.132,0.047,0.179
consuelomz,428,238,81,109,0.189,0.255,0.444
cosi_3,162,86,35,41,0.216,0.253,0.469
cosmopolitansteph,388,165,92,131,0.237,0.338,0.575
crisolive,1014,632,219,163,0.216,0.161,0.377
crosstownrebels,421,243,124,54,0.295,0.128,0.423
cuneytozturk,389,127,111,151,0.285,0.388,0.674
cyesilyaprak,100,56,20,24,0.2,0.24,0.44
dailywatch,2046,1450,472,124,0.231,0.061,0.291
damienhirst,114,83,21,10,0.184,0.088,0.272
danbilzerian,897,502,172,223,0.192,0.249,0.44
danielauribe,59,22,19,18,0.322,0.305,0.627
dannybeeeeee,503,280,115,108,0.229,0.215,0.443
de.ni.mu,742,578,129,35,0.174,0.047,0.221
debbiegalante,155,54,55,46,0.355,0.297,0.652
deliasofia,959,671,189,99,0.197,0.103,0.3
denizozler,398,240,77,81,0.193,0.204,0.397
deryapekol,83,31,13,39,0.157,0.47,0.627
digitalism,679,441,155,83,0.228,0.122,0.351
dijankose,332,141,95,96,0.286,0.289,0.575
dmejiag,116,58,18,40,0.155,0.345,0.5
dorscelik,335,206,64,65,0.191,0.194,0.385
dotstolines,629,380,162,87,0.258,0.138,0.396
doverstreetmarketnewyork,1197,766,288,143,0.241,0.119,0.36
dram_antics,375,242,84,49,0.224,0.131,0.355
dsisequential,111,78,14,19,0.126,0.171,0.297
dvarol44,98,19,26,53,0.265,0.541,0.806
e_garipoglu,225,88,47,90,0.209,0.4,0.609
ebrusita,162,43,39,80,0.241,0.494,0.735
ecekaraaslan,331,196,74,61,0.224,0.184,0.408
ecekop,486,249,82,155,0.169,0.319,0.488
ecemcokyasa,1057,510,287,260,0.272,0.246,0.518
ecenayman,564,192,186,186,0.33,0.33,0.66
eceonen,578,430,97,51,0.168,0.088,0.256
eceyilmazyx,381,265,68,48,0.178,0.126,0.304
edamenn,330,212,54,64,0.164,0.194,0.358
efeg7,741,479,157,105,0.212,0.142,0.354
egemege,995,635,206,154,0.207,0.155,0.362
egeozyegin,390,166,86,138,0.221,0.354,0.574
egypt.beach,97,44,22,31,0.227,0.32,0.546
ekamcili,235,115,51,69,0.217,0.294,0.511
ekinuzunyol,737,427,182,128,0.247,0.174,0.421
ekogan,391,211,91,89,0.233,0.228,0.46
elaapa,360,204,91,65,0.253,0.181,0.433
elabatur_,74,28,21,25,0.284,0.338,0.622
elagirbau,177,80,48,49,0.271,0.277,0.548
eliasfolife,639,326,137,176,0.214,0.275,0.49
elifyalcin_,417,302,83,32,0.199,0.077,0.276
elisabetta_vacca,271,170,56,45,0.207,0.166,0.373
elliemkay,325,109,63,153,0.194,0.471,0.665
elvanmaslak,179,74,36,69,0.201,0.385,0.587
emak4340,427,230,77,120,0.18,0.281,0.461
emiglzsilva,108,59,19,30,0.176,0.278,0.454
emintuksal,234,173,23,38,0.098,0.162,0.261
emirbahadir,1243,452,293,498,0.236,0.401,0.636
emirberiker,72,38,13,21,0.181,0.292,0.472
emirgultekin,142,91,32,19,0.225,0.134,0.359
emrata,1016,388,356,272,0.35,0.268,0.618
emrealtinok,61,33,20,8,0.328,0.131,0.459
enzo_gd,232,116,63,53,0.272,0.228,0.5
equilattera,2809,1879,688,242,0.245,0.086,0.331
erdemaydo,79,46,20,13,0.253,0.165,0.418
erenozekici,127,71,28,28,0.22,0.22,0.441
erginmizrahi,32,17,3,12,0.094,0.375,0.469
erginvarlibas,729,404,173,152,0.237,0.209,0.446
erimdilber,64,40,13,11,0.203,0.172,0.375
erlerch,30,20,6,4,0.2,0.133,0.333
eryorulmaz,321,239,35,47,0.109,0.146,0.255
erzenerez,175,85,35,55,0.2,0.314,0.514
esinamer,293,176,58,59,0.198,0.201,0.399
ethnicdisco,306,212,67,27,0.219,0.088,0.307
ezgisimsek,157,83,38,36,0.242,0.229,0.471
fabiolavelez,520,316,119,85,0.229,0.163,0.392
fatihgaripoglu,52,15,8,29,0.154,0.558,0.712
fazilsay,542,326,109,107,0.201,0.197,0.399
feyzakoksal,826,279,211,336,0.255,0.407,0.662
filkmen,42,17,17,8,0.405,0.19,0.595
flamingobot,638,356,173,109,0.271,0.171,0.442
floatingpoints,144,93,31,20,0.215,0.139,0.354
fuckadvertisements,892,467,276,149,0.309,0.167,0.476
fulyagaripoglu,72,25,9,38,0.125,0.528,0.653
galleryshit,54,39,8,7,0.148,0.13,0.278
gcmt,212,71,51,90,0.241,0.425,0.665
georgeduf,74,40,10,24,0.135,0.324,0.459
georgiz8,372,179,69,124,0.185,0.333,0.519
geylanikadayifcioglu,252,57,63,132,0.25,0.524,0.774
ghalkad,63,23,17,23,0.27,0.365,0.635
giediaz,282,134,70,78,0.248,0.277,0.525
ginampichardo,171,73,35,63,0.205,0.368,0.573
godzillathick,296,151,103,42,0.348,0.142,0.49
gokceerdem,575,413,125,37,0.217,0.064,0.282
gulecselcuk,38,27,10,1,0.263,0.026,0.289
gulhiz,373,174,99,100,0.265,0.268,0.534
gunceakay,127,41,35,51,0.276,0.402,0.677
harisnukem,1230,433,530,267,0.431,0.217,0.648
hatirailknur,232,92,48,92,0.207,0.397,0.603
hindkat,172,54,30,88,0.174,0.512,0.686
hmorhon,701,412,157,132,0.224,0.188,0.412
hodinkee,5845,4079,1266,500,0.217,0.086,0.302
humansofnylol,122,57,52,13,0.426,0.107,0.533
hunera,154,111,24,19,0.156,0.123,0.279
hurhansari,132,74,26,32,0.197,0.242,0.439
igeakant,173,113,27,33,0.156,0.191,0.347
ilaydaeltemur,441,224,113,104,0.256,0.236,0.492
ilterozekici,36,20,9,7,0.25,0.194,0.444
imapine_apple,23,9,9,5,0.391,0.217,0.609
instalegramme,173,159,11,3,0.064,0.017,0.081
ipekkg,253,80,58,115,0.229,0.455,0.684
irem_aks,109,54,18,37,0.165,0.339,0.505
iremalican,195,132,41,22,0.21,0.113,0.323
iremcck,439,202,117,120,0.267,0.273,0.54
iremogucu,367,219,80,68,0.218,0.185,0.403
iremtucaltan,346,222,73,51,0.211,0.147,0.358
irmakeksioglu,338,134,67,137,0.198,0.405,0.604
isildemirsoylu,67,30,21,16,0.313,0.239,0.552
isiltanyeri,410,221,74,115,0.18,0.28,0.461
istanbulmodern,384,272,71,41,0.185,0.107,0.292
itirerguney,360,181,92,87,0.256,0.242,0.497
jacominski,21,15,2,4,0.095,0.19,0.286
jacquemus,4654,2557,1480,617,0.318,0.133,0.451
jakobwimmerofficial,64,31,17,16,0.266,0.25,0.516
javierpg88,194,152,29,13,0.149,0.067,0.216
jcuchillo,36,16,7,13,0.194,0.361,0.556
jei_os,205,147,34,24,0.166,0.117,0.283
jenniemarie25,218,70,21,127,0.096,0.583,0.679
jesschestler,1172,567,227,378,0.194,0.323,0.516
jessica_razga,527,228,144,155,0.273,0.294,0.567
jessmorali,385,108,128,149,0.332,0.387,0.719
jillpascual,154,69,38,47,0.247,0.305,0.552
jonboytattoo,430,171,96,163,0.223,0.379,0.602
jonerden,92,69,15,8,0.163,0.087,0.25
jromerony,69,45,10,14,0.145,0.203,0.348
